address_name,id,name,type,full_name,purpose_name,address_comment,building_name,is_deleted
"1-я Брестская улица, 43",70000001034371333,"Estetus, клиника доктора Севака",branch,,,1 этаж,,
"Гагаринский переулок, 5 ст1",70000001041367338,"Prodent concept, стоматологическая клиника",branch,,,1 этаж,,
"улица Генерала Белобородова, 35/2",4504128908733870,"Уткинзуб, детская стоматология",branch,,,1 этаж,,
"Мичуринский проспект, 34",70000001065671151,"Mela, клиника цифровой стоматологии и косметологии",branch,,,1 этаж,,
"Малый Кисловский переулок, 9 ст3",4504127918567651,"Эдем, медицинский центр",branch,,,1 этаж,,
"Кожевнический проезд, 4/5 ст5",4504127908972687,"Диал-Дент, семейный стоматологический центр",branch,,,"2, 3 этаж",,
"Свободный проспект, 28",70000001064069917,"Alif dent, стоматологическая клиника",branch,,,1 этаж,,
"Трёхгорный Вал улица, 12 ст2",4504127915031746,"Неватекс.Москва, стоматологическая клиника имплантации и доказательной хирургии",branch,,,1 этаж,,
"Новослободская улица, 36/1 ст1",70000001021394983,"Mendeleev, стоматологическая клиника",branch,,,2-3 этаж,,
"Профсоюзная улица, 104",70000001018396326,"Ви-Терра, клиника",branch,,,2 этаж,,
"улица Михалевича, 49",70000001023771231,"Медина, многопрофильная медицинская клиника",branch,,,,,
"улица Островитянова, 53",70000001033507224,"Рудента Фэмили, центр стоматологии",branch,,,1 этаж,,
"Ботанический переулок, 16",70000001065653072,Европейский стоматологический университет,branch,,,1 этаж,,
"Комсомольский проспект, 32",70000001060723533,"DocDeti, стоматологическая клиника",branch,,,2 этаж,,
"Пятницкая улица, 54 ст2",4504127908558813,"Нормадент-Премиум, стоматологическая клиника",branch,,,2 этаж,,
"улица Вертолётчиков, 1",70000001064200425,"Kinder Dent, семейная стоматологическая клиника",branch,,,1 этаж,,
"улица Айвазовского, 2",4504127908494918,"Новодента+, стоматологическая клиника",branch,,,1 этаж,,
"Тимирязевская улица, 11 к1",70000001020531011,"Здоровая улыбка, сеть стоматологических центров",branch,,,1 этаж,,
"переулок Капранова, 3 ст4",4504127908453386,"Крафтвэй, клиника",branch,,,1 этаж,,
"Марксистский переулок, 3",4504127908510464,"Илатан, сеть семейных стоматологических клиник",branch,,,1 этаж,,
"улица Гризодубовой, 1а",4504128908889079,"Наудент, научная стоматология",branch,,,7 офис; 2 этаж,,
"Судостроительная улица, 40",4504127908389676,"Дент-Ист, стоматологическая клиника",branch,,,,,
"Новопесчаная улица, 16 к2",70000001040101068,"Трилогия, медико-стоматологический центр",branch,,,вход со двора,,
"Кутузовский проспект, 45",70000001020333297,"InSmile by dr. Pekli, стоматологическая клиника",branch,,,1 этаж,,
"Кутузовская улица, 1",70000001030859447,"НовоДент, стоматология",branch,,,1 этаж,,
"Наставнический переулок, 17 ст1",70000001047933426,Семейная стоматология Михаила Агами,branch,,,1 этаж; 17 подъезд,,
"3-й проезд Марьиной Рощи, 41",70000001036938611,"СМ-Клиника, клиника для детей и подростков",branch,,,1-5 этаж,,
"улица Мишина, 38",4504127908658940,"ЭспаДент, центр дентальной имплантации",branch,,,1 этаж,,
"Лазоревый проезд, 3",70000001055317983,"Система, клиника эстетической стоматологии Ирины Буториной",branch,,,1 этаж,,
"Зеленоград, к403а",4504127908576766,"Норма-XXI, медицинский центр",branch,,,2 этаж,,
"Хорошёвское шоссе, 25а к2",70000001090819880,"Люкс Смайл, стоматология современной медицины",branch,,,2/1 помещение,,
"Ярцевская улица, 14",70000001025092087,"Лимон, стоматологическая клиника",branch,,,1 этаж,,
"улица Кржижановского, 13 к2",70000001022477052,"Альгарди, стоматологическая клиника",branch,,,1 этаж,,
"Астраханский переулок, 10/36 ст1",4504127908364676,"Elite Denta, стоматология",branch,,,1 этаж,,
"Мясницкая улица, 19",4504127918791484,"Heartman, лечебно-диагностический центр",branch,,,2 этаж,,
"3-й Монетчиковский переулок, 16 ст1",70000001050686537,"A medclinic, медицинский центр",branch,,,1 этаж,,
"Родионовская улица, 2",70000001097451966,"Мир, клиника здоровья и красоты",branch,,,1 этаж,,
"Стремянный переулок, 2",70000001098161779,Стоматология Глотова,branch,,,1 этаж,,
"Профсоюзная улица, 113 к2",70000001039859741,Клиника Семейной Стоматологии,branch,,,1 этаж,,
"улица Лестева, 20",4504127914784691,"Здоровое поколение, медицинская ассоциация",branch,,,1-2 этаж,,
